Datetime (%Y-%m-%d %H:%M:%S),Powerload (kW)
2023-09-01 08:00:00,27.46
2023-09-01 08:30:00,73.64
2023-09-01 09:00:00,78.42
2023-09-01 09:30:00,79.14
2023-09-01 10:00:00,79.3
2023-09-01 10:30:00,79.16
2023-09-01 11:00:00,78.5
2023-09-01 11:30:00,77.88
2023-09-01 12:00:00,77.92
2023-09-01 12:30:00,11.15
2023-09-01 13:00:00,0.02
2023-09-01 13:30:00,0.02
2023-09-01 14:00:00,68.68
2023-09-01 14:30:00,77.99
2023-09-01 15:00:00,77.92
2023-09-01 15:30:00,82.46
2023-09-01 16:00:00,79.28
2023-09-01 16:30:00,77.89
2023-09-01 17:00:00,77.93
2023-09-01 17:30:00,55.91
2023-09-01 18:00:00,0.02
2023-09-01 18:30:00,0.02
2023-09-01 19:00:00,0.02
2023-09-01 19:30:00,0.02
2023-09-01 20:00:00,0.02
2023-09-01 20:30:00,20.59
2023-09-01 21:00:00,90.95
2023-09-01 21:30:00,92.65
2023-09-01 22:00:00,70.89
2023-09-01 22:30:00,71.28
2023-09-01 23:00:00,71.31
2023-09-01 23:30:00,71
2023-09-02 00:00:00,71.09
2023-09-02 00:30:00,58.28
2023-09-02 01:00:00,3.29
2023-09-02 01:30:00,0.02
2023-09-02 02:00:00,0.02
2023-09-02 02:30:00,0.02
2023-09-02 03:00:00,3.92
2023-09-02 03:30:00,4.17
2023-09-02 04:00:00,4.13
2023-09-02 04:30:00,4.05
2023-09-02 05:00:00,4.95
2023-09-02 05:30:00,4.24
2023-09-02 06:00:00,0.52
2023-09-02 06:30:00,0.02
2023-09-02 07:00:00,0.02
2023-09-02 07:30:00,0.02
2023-09-02 08:00:00,61.91
2023-09-02 08:30:00,50.46
2023-09-02 09:00:00,0.02
2023-09-02 09:30:00,0.02
2023-09-02 10:00:00,0.02
2023-09-02 10:30:00,0.02
2023-09-02 11:00:00,0.02
2023-09-02 11:30:00,0.02
2023-09-02 12:00:00,61.6
2023-09-02 12:30:00,70.44
2023-09-02 13:00:00,70.61
2023-09-02 13:30:00,70.76
2023-09-02 14:00:00,70.46
2023-09-02 14:30:00,70.61
2023-09-02 15:00:00,71.49
2023-09-02 15:30:00,71.52
2023-09-02 16:00:00,71.02
2023-09-02 16:30:00,50.5
2023-09-02 17:00:00,0.02
2023-09-02 17:30:00,0.02
2023-09-02 18:00:00,0.02
2023-09-02 18:30:00,20.45
2023-09-02 19:00:00,71.06
2023-09-02 19:30:00,70.89
2023-09-02 20:00:00,71.53
2023-09-02 20:30:00,71.55
2023-09-02 21:00:00,71.67
2023-09-02 21:30:00,50.78
2023-09-02 22:00:00,0.02
2023-09-02 22:30:00,0.02
2023-09-02 23:00:00,0.02
2023-09-02 23:30:00,0.02
2023-09-03 00:00:00,0.02
2023-09-03 00:30:00,0.02
2023-09-03 01:00:00,0.02
2023-09-03 01:30:00,0.02
2023-09-03 02:00:00,61.84
2023-09-03 02:30:00,70.61
2023-09-03 03:00:00,70.9
2023-09-03 03:30:00,70.62
2023-09-03 04:00:00,70.55
2023-09-03 04:30:00,70.45
2023-09-03 05:00:00,70.56
2023-09-03 05:30:00,70.77
2023-09-03 06:00:00,35.38
2023-09-03 06:30:00,0.02
2023-09-03 07:00:00,0.02
2023-09-03 07:30:00,0.02
2023-09-03 08:00:00,0.02
2023-09-03 08:30:00,0.02
2023-09-03 09:00:00,0.02
2023-09-03 09:30:00,60.43
2023-09-03 10:00:00,70.58
2023-09-03 10:30:00,71.64
2023-09-03 11:00:00,71.68
2023-09-03 11:30:00,70.57
2023-09-03 12:00:00,70.67
2023-09-03 12:30:00,70.76
2023-09-03 13:00:00,70.93
2023-09-03 13:30:00,70.78
2023-09-03 14:00:00,71.1
2023-09-03 14:30:00,71.99
2023-09-03 15:00:00,71.92
2023-09-03 15:30:00,10.25
2023-09-03 16:00:00,0.02
2023-09-03 16:30:00,0.02
2023-09-03 17:00:00,0.02
2023-09-03 17:30:00,60.83
2023-09-03 18:00:00,71.08
2023-09-03 18:30:00,70.81
2023-09-03 19:00:00,70.72
2023-09-03 19:30:00,71.09
2023-09-03 20:00:00,35.95
2023-09-03 20:30:00,0.02
2023-09-03 21:00:00,0.02
2023-09-03 21:30:00,0.02
2023-09-03 22:00:00,0.02
2023-09-03 22:30:00,0.02
2023-09-03 23:00:00,0.02
2023-09-03 23:30:00,1.3
2023-09-04 00:00:00,4.52
2023-09-04 00:30:00,4.4
2023-09-04 01:00:00,4.77
2023-09-04 01:30:00,4.35
2023-09-04 02:00:00,4.67
2023-09-04 02:30:00,5.25
2023-09-04 03:00:00,29.23
2023-09-04 03:30:00,7.46
2023-09-04 04:00:00,0.02
2023-09-04 04:30:00,0.02
2023-09-04 05:00:00,0.02
2023-09-04 05:30:00,60.87
2023-09-04 06:00:00,70.67
2023-09-04 06:30:00,70.68
2023-09-04 07:00:00,70.75
2023-09-04 07:30:00,70.7
2023-09-04 08:00:00,71.4
2023-09-04 08:30:00,71.25
2023-09-04 09:00:00,71.23
2023-09-04 09:30:00,71.25
2023-09-04 10:00:00,71.45
2023-09-04 10:30:00,71.25
2023-09-04 11:00:00,71.33
2023-09-04 11:30:00,71.42
2023-09-04 12:00:00,72.46
2023-09-04 12:30:00,72.32
2023-09-04 13:00:00,72.43
2023-09-04 13:30:00,72.17
2023-09-04 14:00:00,71.21
2023-09-04 14:30:00,71.02
2023-09-04 15:00:00,71.29
2023-09-04 15:30:00,74.22
2023-09-04 16:00:00,74.54
2023-09-04 16:30:00,79.55
2023-09-04 17:00:00,25
2023-09-04 17:30:00,0.02
2023-09-04 18:00:00,0.02
2023-09-04 18:30:00,0.02
2023-09-04 19:00:00,0.02
2023-09-04 19:30:00,0.02
2023-09-04 20:00:00,0.02
2023-09-04 20:30:00,0.02
2023-09-04 21:00:00,3.81
2023-09-04 21:30:00,8.66
2023-09-04 22:00:00,61.51
2023-09-04 22:30:00,74.08
2023-09-04 23:00:00,74.55
2023-09-04 23:30:00,73.83
2023-09-05 00:00:00,74.51
2023-09-05 00:30:00,74.02
2023-09-05 01:00:00,9.21
2023-09-05 01:30:00,0.02
2023-09-05 02:00:00,0.02
2023-09-05 02:30:00,0.02
2023-09-05 03:00:00,36.61
2023-09-05 03:30:00,73.05
2023-09-05 04:00:00,73.42
2023-09-05 04:30:00,74.07
2023-09-05 05:00:00,73.82
2023-09-05 05:30:00,73.37
2023-09-05 06:00:00,36.69
2023-09-05 06:30:00,0.02
2023-09-05 07:00:00,0.02
2023-09-05 07:30:00,0.02
2023-09-05 08:00:00,0.02
2023-09-05 08:30:00,0.02
2023-09-05 09:00:00,61.71
2023-09-05 09:30:00,70.79
2023-09-05 10:00:00,71.68
2023-09-05 10:30:00,71.83
2023-09-05 11:00:00,71.75
2023-09-05 11:30:00,71.49
2023-09-05 12:00:00,70.54
2023-09-05 12:30:00,70.76
2023-09-05 13:00:00,8.91
2023-09-05 13:30:00,0.02
2023-09-05 14:00:00,0.02
2023-09-05 14:30:00,0.02
2023-09-05 15:00:00,0.02
2023-09-05 15:30:00,0.02
2023-09-05 16:00:00,26.82
2023-09-05 16:30:00,21.09
2023-09-05 17:00:00,72.14
2023-09-05 17:30:00,71.89
2023-09-05 18:00:00,71.71
2023-09-05 18:30:00,70.87
2023-09-05 19:00:00,73.26
2023-09-05 19:30:00,10.66
2023-09-05 20:00:00,0.02
2023-09-05 20:30:00,0.02
2023-09-05 21:00:00,0.02
2023-09-05 21:30:00,0.02
2023-09-05 22:00:00,0.02
2023-09-05 22:30:00,0.02
2023-09-05 23:00:00,35.99
2023-09-05 23:30:00,70.91
2023-09-06 00:00:00,70.63
2023-09-06 00:30:00,70.41
2023-09-06 01:00:00,70.57
2023-09-06 01:30:00,70.44
2023-09-06 02:00:00,35.19
2023-09-06 02:30:00,0.02
2023-09-06 03:00:00,0.02
2023-09-06 03:30:00,0.02
2023-09-06 04:00:00,0.02
2023-09-06 04:30:00,0.02
2023-09-06 05:00:00,0.02
2023-09-06 05:30:00,60.33
2023-09-06 06:00:00,71.12
2023-09-06 06:30:00,70.62
2023-09-06 07:00:00,70.39
2023-09-06 07:30:00,70.33
2023-09-06 08:00:00,8.81
2023-09-06 08:30:00,0.02
2023-09-06 09:00:00,33.84
2023-09-06 09:30:00,70.76
2023-09-06 10:00:00,71.44
2023-09-06 10:30:00,72.14
2023-09-06 11:00:00,71.18
2023-09-06 11:30:00,71
2023-09-06 12:00:00,71.08
2023-09-06 12:30:00,70.93
2023-09-06 13:00:00,70.99
2023-09-06 13:30:00,71.86
2023-09-06 14:00:00,71.43
2023-09-06 14:30:00,50.68
2023-09-06 15:00:00,0.02
2023-09-06 15:30:00,0.02
2023-09-06 16:00:00,0.02
2023-09-06 16:30:00,20.34
2023-09-06 17:00:00,73.13
2023-09-06 17:30:00,105.84
2023-09-06 18:00:00,115.11
2023-09-06 18:30:00,115.22
2023-09-06 19:00:00,116.05
2023-09-06 19:30:00,82.71
2023-09-06 20:00:00,0.02
2023-09-06 20:30:00,0.02
2023-09-06 21:00:00,0.02
2023-09-06 21:30:00,0.02
2023-09-06 22:00:00,0.02
2023-09-06 22:30:00,0.02
2023-09-06 23:00:00,0.02
2023-09-06 23:30:00,33.03
2023-09-07 00:00:00,115.57
2023-09-07 00:30:00,115.37
2023-09-07 01:00:00,115.26
2023-09-07 01:30:00,115.08
2023-09-07 02:00:00,115.23
2023-09-07 02:30:00,115.16
2023-09-07 03:00:00,115.26
2023-09-07 03:30:00,116.03
2023-09-07 04:00:00,57.72
2023-09-07 04:30:00,0.02
2023-09-07 05:00:00,0.02
2023-09-07 05:30:00,0.02
2023-09-07 06:00:00,0.02
2023-09-07 06:30:00,3.69
2023-09-07 07:00:00,4.63
2023-09-07 07:30:00,4.7
2023-09-07 08:00:00,6.64
2023-09-07 08:30:00,76.89
2023-09-07 09:00:00,115.03
2023-09-07 09:30:00,115.06
2023-09-07 10:00:00,114.98
2023-09-07 10:30:00,115.07
2023-09-07 11:00:00,115.68
2023-09-07 11:30:00,66.46
2023-09-07 12:00:00,4.15
2023-09-07 12:30:00,4.15
2023-09-07 13:00:00,4.2
2023-09-07 13:30:00,4.24
2023-09-07 14:00:00,4.23
2023-09-07 14:30:00,4.31
2023-09-07 15:00:00,37.75
2023-09-07 15:30:00,70.04
2023-09-07 16:00:00,71.57
2023-09-07 16:30:00,71.46
2023-09-07 17:00:00,8.63
2023-09-07 17:30:00,0.02
2023-09-07 18:00:00,0.02
2023-09-07 18:30:00,0.02
2023-09-07 19:00:00,0.02
2023-09-07 19:30:00,20.41
2023-09-07 20:00:00,72.77
2023-09-07 20:30:00,72.86
2023-09-07 21:00:00,72.72
2023-09-07 21:30:00,72.46
2023-09-07 22:00:00,72.01
2023-09-07 22:30:00,70.29
2023-09-07 23:00:00,70.94
2023-09-07 23:30:00,70.77
2023-09-08 00:00:00,8.8
2023-09-08 00:30:00,0.02
2023-09-08 01:00:00,0.02
2023-09-08 01:30:00,0.02
2023-09-08 02:00:00,0.02
2023-09-08 02:30:00,0.02
2023-09-08 03:00:00,39.04
2023-09-08 03:30:00,7.72
2023-09-08 04:00:00,4.82
2023-09-08 04:30:00,4.12
2023-09-08 05:00:00,4.27
2023-09-08 05:30:00,4.6
2023-09-08 06:00:00,4.16
2023-09-08 06:30:00,4.17
2023-09-08 07:00:00,0.61
2023-09-08 07:30:00,0.02
2023-09-08 08:00:00,64.07
2023-09-08 08:30:00,72.96
2023-09-08 09:00:00,73.58
2023-09-08 09:30:00,73.26
2023-09-08 10:00:00,73.13
2023-09-08 10:30:00,72.94
2023-09-08 11:00:00,73.15
2023-09-08 11:30:00,52.06
2023-09-08 12:00:00,0.02
2023-09-08 12:30:00,0.02
2023-09-08 13:00:00,0.02
2023-09-08 13:30:00,0.02
2023-09-08 14:00:00,64.2
2023-09-08 14:30:00,73.62
2023-09-08 15:00:00,73.81
2023-09-08 15:30:00,74.26
2023-09-08 16:00:00,74.04
2023-09-08 16:30:00,72.75
2023-09-08 17:00:00,70.86
2023-09-08 17:30:00,70.94
2023-09-08 18:00:00,72.51
2023-09-08 18:30:00,72.47
2023-09-08 19:00:00,72.94
2023-09-08 19:30:00,51.67
2023-09-08 20:00:00,0.02
2023-09-08 20:30:00,0.02
2023-09-08 21:00:00,0.02
2023-09-08 21:30:00,0.02
2023-09-08 22:00:00,36.65
2023-09-08 22:30:00,73.34
2023-09-08 23:00:00,73.32
2023-09-08 23:30:00,73.36
2023-09-09 00:00:00,72.97
2023-09-09 00:30:00,72.17
2023-09-09 01:00:00,71.71
2023-09-09 01:30:00,70.7
2023-09-09 02:00:00,35.34
2023-09-09 02:30:00,0.02
2023-09-09 03:00:00,0.02
2023-09-09 03:30:00,0.02
2023-09-09 04:00:00,0.02
2023-09-09 04:30:00,0.02
2023-09-09 05:00:00,0.02
2023-09-09 05:30:00,3.76
2023-09-09 06:00:00,4.2
2023-09-09 06:30:00,4.65
2023-09-09 07:00:00,4.38
2023-09-09 07:30:00,4.41
2023-09-09 08:00:00,4.42
2023-09-09 08:30:00,4.88
2023-09-09 09:00:00,4.28
2023-09-09 09:30:00,5.3
2023-09-09 10:00:00,14.95
2023-09-09 10:30:00,63.78
2023-09-09 11:00:00,71.25
2023-09-09 11:30:00,71.82
2023-09-09 12:00:00,35.68
2023-09-09 12:30:00,0.02
2023-09-09 13:00:00,0.02
2023-09-09 13:30:00,0.02
2023-09-09 14:00:00,61.83
2023-09-09 14:30:00,70.73
2023-09-09 15:00:00,70.76
2023-09-09 15:30:00,71.86
2023-09-09 16:00:00,71.86
2023-09-09 16:30:00,71.71
2023-09-09 17:00:00,71.52
2023-09-09 17:30:00,10.2
2023-09-09 18:00:00,0.02
2023-09-09 18:30:00,0.02
2023-09-09 19:00:00,0.02
2023-09-09 19:30:00,0.02
2023-09-09 20:00:00,0.02
2023-09-09 20:30:00,61.15
2023-09-09 21:00:00,71.91
2023-09-09 21:30:00,71.31
2023-09-09 22:00:00,71.16
2023-09-09 22:30:00,71.48
2023-09-09 23:00:00,71.59
2023-09-09 23:30:00,71.13
2023-09-10 00:00:00,70.58
2023-09-10 00:30:00,70.44
2023-09-10 01:00:00,70.37
2023-09-10 01:30:00,10.06
2023-09-10 02:00:00,0.02
2023-09-10 02:30:00,0.02
2023-09-10 03:00:00,62.19
2023-09-10 03:30:00,70.76
2023-09-10 04:00:00,70.42
2023-09-10 04:30:00,70.53
2023-09-10 05:00:00,70.82
2023-09-10 05:30:00,10.18
2023-09-10 06:00:00,0.02
2023-09-10 06:30:00,0.02
2023-09-10 07:00:00,0.02
2023-09-10 07:30:00,0.02
2023-09-10 08:00:00,0.02
2023-09-10 08:30:00,0.02
2023-09-10 09:00:00,0.02
2023-09-10 09:30:00,0.02
2023-09-10 10:00:00,62.67
2023-09-10 10:30:00,71.16
2023-09-10 11:00:00,71.1
2023-09-10 11:30:00,71.06
2023-09-10 12:00:00,71.39
2023-09-10 12:30:00,71.99
2023-09-10 13:00:00,71.08
2023-09-10 13:30:00,71.05
2023-09-10 14:00:00,70.86
2023-09-10 14:30:00,70.97
2023-09-10 15:00:00,35.59
2023-09-10 15:30:00,0.02
2023-09-10 16:00:00,0.02
2023-09-10 16:30:00,0.02
2023-09-10 17:00:00,36.63
2023-09-10 17:30:00,73.25
2023-09-10 18:00:00,73.57
2023-09-10 18:30:00,73.64
2023-09-10 19:00:00,73.56
2023-09-10 19:30:00,52.37
2023-09-10 20:00:00,0.02
2023-09-10 20:30:00,0.02
2023-09-10 21:00:00,0.02
2023-09-10 21:30:00,0.02
2023-09-10 22:00:00,0.02
2023-09-10 22:30:00,0.02
2023-09-10 23:00:00,0.02
2023-09-10 23:30:00,20.79
2023-09-11 00:00:00,73.18
2023-09-11 00:30:00,71.55
2023-09-11 01:00:00,71.8
2023-09-11 01:30:00,71.13
2023-09-11 02:00:00,35.57
2023-09-11 02:30:00,0.02
2023-09-11 03:00:00,0.02
2023-09-11 03:30:00,0.02
2023-09-11 04:00:00,35.95
2023-09-11 04:30:00,71.72
2023-09-11 05:00:00,71.17
2023-09-11 05:30:00,71.13
2023-09-11 06:00:00,71.68
2023-09-11 06:30:00,71.13
2023-09-11 07:00:00,71.07
2023-09-11 07:30:00,71.57
2023-09-11 08:00:00,83.91
2023-09-11 08:30:00,75.56
2023-09-11 09:00:00,70.84
2023-09-11 09:30:00,71.64
2023-09-11 10:00:00,71.09
2023-09-11 10:30:00,71.05
2023-09-11 11:00:00,70.87
2023-09-11 11:30:00,62.23
2023-09-11 12:00:00,9.12
2023-09-11 12:30:00,5.31
2023-09-11 13:00:00,4.81
2023-09-11 13:30:00,4.26
2023-09-11 14:00:00,4.24
2023-09-11 14:30:00,35.91
2023-09-11 15:00:00,86.38
2023-09-11 15:30:00,89.13
2023-09-11 16:00:00,88.25
2023-09-11 16:30:00,88.06
2023-09-11 17:00:00,87.82
2023-09-11 17:30:00,88.03
2023-09-11 18:00:00,88.51
2023-09-11 18:30:00,87.84
2023-09-11 19:00:00,88.07
2023-09-11 19:30:00,89.13
2023-09-11 20:00:00,88.11
2023-09-11 20:30:00,62.99
2023-09-11 21:00:00,0.02
2023-09-11 21:30:00,0.02
2023-09-11 22:00:00,0.02
2023-09-11 22:30:00,0.02
2023-09-11 23:00:00,0.02
2023-09-11 23:30:00,0.02
2023-09-12 00:00:00,0.02
2023-09-12 00:30:00,76.11
2023-09-12 01:00:00,87.7
2023-09-12 01:30:00,87.7
2023-09-12 02:00:00,87.39
2023-09-12 02:30:00,87.47
2023-09-12 03:00:00,87.84
2023-09-12 03:30:00,62.35
2023-09-12 04:00:00,0.02
2023-09-12 04:30:00,0.02
2023-09-12 05:00:00,0.02
2023-09-12 05:30:00,0.02
2023-09-12 06:00:00,0.02
2023-09-12 06:30:00,0.02
2023-09-12 07:00:00,3.84
2023-09-12 07:30:00,8.16
2023-09-12 08:00:00,62.99
2023-09-12 08:30:00,10.08
2023-09-12 09:00:00,0.02
2023-09-12 09:30:00,0.02
2023-09-12 10:00:00,0.02
2023-09-12 10:30:00,0.02
2023-09-12 11:00:00,0.02
2023-09-12 11:30:00,20.02
2023-09-12 12:00:00,70.13
2023-09-12 12:30:00,70.03
2023-09-12 13:00:00,70.6
2023-09-12 13:30:00,70.46
2023-09-12 14:00:00,54.68
2023-09-12 14:30:00,10.57
2023-09-12 15:00:00,6.11
2023-09-12 15:30:00,5.92
2023-09-12 16:00:00,0.68
2023-09-12 16:30:00,0.02
2023-09-12 17:00:00,0.02
2023-09-12 17:30:00,0.02
2023-09-12 18:00:00,0.02
2023-09-12 18:30:00,20.41
2023-09-12 19:00:00,71.63
2023-09-12 19:30:00,71.42
2023-09-12 20:00:00,70.92
2023-09-12 20:30:00,71.53
2023-09-12 21:00:00,35.86
2023-09-12 21:30:00,0.02
2023-09-12 22:00:00,0.02
2023-09-12 22:30:00,61.27
2023-09-12 23:00:00,71.08
2023-09-12 23:30:00,71
2023-09-13 00:00:00,71.32
2023-09-13 00:30:00,71.24
2023-09-13 01:00:00,35.47
2023-09-13 01:30:00,20.24
2023-09-13 02:00:00,71.26
2023-09-13 02:30:00,70.97
2023-09-13 03:00:00,70.86
2023-09-13 03:30:00,50.54
2023-09-13 04:00:00,0.02
2023-09-13 04:30:00,0.02
2023-09-13 05:00:00,0.02
2023-09-13 05:30:00,20.24
2023-09-13 06:00:00,70.72
2023-09-13 06:30:00,70.68
2023-09-13 07:00:00,71.35
2023-09-13 07:30:00,70.8
2023-09-13 08:00:00,8.82
2023-09-13 08:30:00,0.02
2023-09-13 09:00:00,64.14
2023-09-13 09:30:00,62.03
2023-09-13 10:00:00,9.93
2023-09-13 10:30:00,6.83
2023-09-13 11:00:00,6.58
2023-09-13 11:30:00,6.29
2023-09-13 12:00:00,6.37
2023-09-13 12:30:00,7.51
2023-09-13 13:00:00,7.62
2023-09-13 13:30:00,6.95
2023-09-13 14:00:00,6.2
2023-09-13 14:30:00,14.21
2023-09-13 15:00:00,67.97
2023-09-13 15:30:00,73.35
2023-09-13 16:00:00,73.15
2023-09-13 16:30:00,52.29
2023-09-13 17:00:00,0.02
2023-09-13 17:30:00,0.02
2023-09-13 18:00:00,0.02
2023-09-13 18:30:00,63.03
2023-09-13 19:00:00,73.77
2023-09-13 19:30:00,73.54
2023-09-13 20:00:00,73.63
2023-09-13 20:30:00,73.81
2023-09-13 21:00:00,73.12
2023-09-13 21:30:00,72.95
2023-09-13 22:00:00,9.15
2023-09-13 22:30:00,0.02
2023-09-13 23:00:00,0.02
2023-09-13 23:30:00,0.02
2023-09-14 00:00:00,0.02
2023-09-14 00:30:00,0.02
2023-09-14 01:00:00,0.02
2023-09-14 01:30:00,20.84
2023-09-14 02:00:00,72.77
2023-09-14 02:30:00,72.81
2023-09-14 03:00:00,72.81
2023-09-14 03:30:00,72.71
2023-09-14 04:00:00,72.59
2023-09-14 04:30:00,72.81
2023-09-14 05:00:00,72.86
2023-09-14 05:30:00,73.21
2023-09-14 06:00:00,9.22
2023-09-14 06:30:00,0.02
2023-09-14 07:00:00,0.02
2023-09-14 07:30:00,21.08
2023-09-14 08:00:00,71.11
2023-09-14 08:30:00,71.72
2023-09-14 09:00:00,9
2023-09-14 09:30:00,0.02
2023-09-14 10:00:00,0.02
2023-09-14 10:30:00,0.02
2023-09-14 11:00:00,0.02
2023-09-14 11:30:00,0.02
2023-09-14 12:00:00,4.18
2023-09-14 12:30:00,5.06
2023-09-14 13:00:00,5.36
2023-09-14 13:30:00,4.71
2023-09-14 14:00:00,5.05
2023-09-14 14:30:00,4.98
2023-09-14 15:00:00,50.6
2023-09-14 15:30:00,70.88
2023-09-14 16:00:00,71.73
2023-09-14 16:30:00,50.84
2023-09-14 17:00:00,0.02
2023-09-14 17:30:00,0.02
2023-09-14 18:00:00,0.02
2023-09-14 18:30:00,0.02
2023-09-14 19:00:00,61.77
2023-09-14 19:30:00,70.27
2023-09-14 20:00:00,71.03
2023-09-14 20:30:00,70.52
2023-09-14 21:00:00,70.36
2023-09-14 21:30:00,10.08
2023-09-14 22:00:00,0.02
2023-09-14 22:30:00,0.02
2023-09-14 23:00:00,0.02
2023-09-14 23:30:00,0.02
2023-09-15 00:00:00,0.02
2023-09-15 00:30:00,60.1
2023-09-15 01:00:00,70.07
2023-09-15 01:30:00,70
2023-09-15 02:00:00,70.22
2023-09-15 02:30:00,70.18
2023-09-15 03:00:00,70.62
2023-09-15 03:30:00,50.84
2023-09-15 04:00:00,0.02
2023-09-15 04:30:00,0.02
2023-09-15 05:00:00,62.16
2023-09-15 05:30:00,71.24
2023-09-15 06:00:00,35.57
2023-09-15 06:30:00,20.37
2023-09-15 07:00:00,71.35
2023-09-15 07:30:00,71.03
2023-09-15 08:00:00,71.03
